date,value,memo,platform,content_type
2026-06-16,39,25개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-16,0,1개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-16,133,46곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-17,96,55개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-17,3,3개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-17,129,41곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-18,124,102개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-18,2,3개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-18,348,113곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-19,133,120개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-19,3,5개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-19,229,75곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-20,117,103개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-20,1,3개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-20,151,50곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-21,303,392개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-21,11,20개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-21,7,2곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-22,106,120개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-22,3,4개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-22,228,88곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-23,182,248개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-23,4,8개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-23,109,33곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-24,2,6개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-24,172,224개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-24,140,52곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-25,230,331개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-25,4,13개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-25,64,21곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-26,129,152개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-26,3,5개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-26,26,8곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-27,161,187개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-27,4,6개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-27,157,49곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-28,215,276개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-28,8,14개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-28,44,14곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-29,140,169개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-29,10,14개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-29,339,101곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-06-30,174,192개 시청 (시간 간격 기반 추정),youtube,long_form
2026-06-30,5,10개 시청 (시간 간격 기반 추정),youtube,short_form
2026-06-30,106,33곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-01,229,248개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-01,8,14개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-01,91,26곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-02,171,249개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-02,8,14개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-02,394,132곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-03,114,107개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-03,8,14개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-03,91,26곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-04,212,209개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-04,12,20개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-04,22,8곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-05,226,298개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-05,14,25개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-05,46,14곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-06,10,22개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-06,185,302개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-06,197,66곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-07,216,254개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-07,10,17개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-07,199,75곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-08,135,130개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-08,3,10개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-09,372,447개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-09,8,18개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-09,168,62곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-10,220,217개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-10,5,11개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-10,156,57곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-11,214,213개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-11,7,13개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-11,32,13곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-12,276,331개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-12,12,22개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-12,15,5곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-13,181,209개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-13,4,8개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-13,393,144곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-14,146,195개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-14,1,1개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-14,201,68곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-15,150,186개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-15,4,8개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-15,4,1곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-16,333,364개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-16,5,12개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-16,66,27곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-17,209,214개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-17,5,9개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-17,121,45곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-18,240,192개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-18,1,2개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-19,367,364개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-19,21,32개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-20,220,280개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-20,14,23개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-20,202,78곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-21,232,280개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-21,8,13개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-21,315,109곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-22,189,262개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-22,5,14개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-22,8,2곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-23,267,391개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-23,13,19개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-23,148,47곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-24,184,232개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-24,28,51개 시청 (시간 간격 기반 추정),youtube,short_form
2026-07-24,135,58곡 재생 (시간 간격 기반 추정),youtube_music,long_form
2026-07-25,219,196개 시청 (시간 간격 기반 추정),youtube,long_form
2026-07-25,1,6개 시청 (시간 간격 기반 추정),youtube,short_form
